dia_chi,latitude,longitude,price_
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,6.0
"Hậu Giang, Châu Thành A",9.93014655,105.64014022638986,2.0
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,4.2
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,8.4
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,7.2
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,8.3
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,6.6
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,10.2
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,6.2
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,5.9
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.1
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,11.7
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,8.8
"Hà Nội, Long Biên",21.0257066,105.8921527,1.7
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,7.9
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,3.2
"Hà Nội, Thanh Trì",20.941461599999997,105.83603265035416,2.4
"Hà Nội, Long Biên",21.0257066,105.8921527,2.8
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,5.7
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,5.9
"Hà Nội, Hà Đông",20.9702189,105.7749566,5.5
"TP Hồ Chí Minh, Quận 10",10.7726536,106.66821544343898,2.9
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,7.3
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,5.6
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,5.2
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,9.6
"Hà Nội, Hà Đông",20.9702189,105.7749566,8.4
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,9.7
"Đà Nẵng, Thanh Khê",16.071795950000002,108.20920548707869,10.9
"Hà Nội, Ba Đình",21.03470905,105.82451384484861,5.1
"TP Hồ Chí Minh, Quận 8",10.7220335,106.62949387003158,4.0
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,7.7
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,8.5
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,4.6
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,6.6
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,9.2
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,9.1
"TP Hồ Chí Minh, Quận 8",10.7220335,106.62949387003158,3.1
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,3.5
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,7.5
"TP Hồ Chí Minh, Quận 12",10.861410750000001,106.66420925636413,2.6
"Hà Nội, Thanh Trì",20.941461599999997,105.83603265035416,2.2
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,4.7
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,6.3
"TP Hồ Chí Minh, Quận 10",10.7726536,106.66821544343898,9.0
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,5.3
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,3.2
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,7.7
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,8.7
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,3.1
"Hà Nội, Thanh Trì",20.941461599999997,105.83603265035416,4.0
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,5.7
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,11.0
"Đà Nẵng, Thanh Khê",16.071795950000002,108.20920548707869,6.0
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,1.4
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,8.0
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,8.2
"Hà Nội, Tây Hồ",21.075251100000003,105.80736904927184,6.2
"TP Hồ Chí Minh, Quận 1",10.77526035,106.69957286491969,9.8
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,7.9
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,4.7
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,2.2
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,10.2
"Hà Nội, Thanh Trì",20.941461599999997,105.83603265035416,3.2
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,7.2
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,7.7
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,7.1
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,9.3
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,5.6
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,9.6
"TP Hồ Chí Minh, Quận 9",10.8311346,106.7715507,8.5
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,7.4
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,7.3
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,3.4
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,9.7
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,7.0
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,5.4
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,8.5
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,4.4
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,6.7
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,6.9
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,8.2
"Hà Nội, Thanh Trì",20.941461599999997,105.83603265035416,3.3
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,4.7
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,3.3
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,3.0
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,8.6
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,2.1
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,6.7
"TP Hồ Chí Minh, Quận 12",10.861410750000001,106.66420925636413,4.9
"Hà Nội, Ba Đình",21.03470905,105.82451384484861,4.5
"TP Hồ Chí Minh, Quận 8",10.7220335,106.62949387003158,4.6
"TP Hồ Chí Minh, Quận 12",10.861410750000001,106.66420925636413,6.8
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,6.6
"Bắc Ninh, Từ Sơn",21.113309,105.9568611,7.8
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,5.7
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,7.0
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.7
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,5.8
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,7.1
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,3.4
"Hà Nội, Thanh Trì",20.941461599999997,105.83603265035416,3.5
"Hà Nội, Thanh Trì",20.941461599999997,105.83603265035416,4.3
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,8.0
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,9.2
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,9.8
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.1
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,7.1
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,6.1
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,4.2
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,6.0
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,3.2
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,6.1
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.9
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,4.1
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,6.2
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,2.0
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,5.1
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,7.2
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,6.6
"Bắc Ninh, Từ Sơn",21.113309,105.9568611,9.0
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,5.1
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,8.3
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,6.3
"Hà Nội, Long Biên",21.0257066,105.8921527,4.4
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,6.5
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,5.0
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,8.2
"TP Hồ Chí Minh, Quận 11",10.7659529,106.6475594370616,10.7
"TP Hồ Chí Minh, Quận 10",10.7726536,106.66821544343898,12.9
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,4.8
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,8.2
"Hà Nội, Tây Hồ",21.075251100000003,105.80736904927184,4.0
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,4.5
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,4.7
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,6.9
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,4.2
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,4.8
"Đồng Nai, Biên Hòa",10.9509538,106.8226134,4.4
"Đồng Nai, Biên Hòa",10.9509538,106.8226134,3.3
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,2.9
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,9.5
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,6.7
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,8.4
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,9.4
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,3.9
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,6.2
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.5
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,6.0
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.4
"Hà Nội, Hoàn Kiếm",21.0242611,105.8410726,4.6
"Hà Nội, Hai Bà Trưng",21.012198,105.8552245,6.0
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,7.8
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,3.8
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,8.4
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,6.3
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,4.0
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,7.1
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,9.2
"Thừa Thiên Huế, Huế",16.4639321,107.5863388,1.9
"Hà Nội, Long Biên",21.0257066,105.8921527,4.5
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,1.5
"Bắc Ninh, Từ Sơn",21.113309,105.9568611,6.1
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,4.0
"TP Hồ Chí Minh, Quận 5",10.75568335,106.6683065744068,3.0
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,7.0
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,9.6
"Hà Nội, Nam Từ Liêm",21.0151072,105.7814958,7.8
"TP Hồ Chí Minh, Quận 10",10.7726536,106.66821544343898,6.0
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,7.4
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,6.8
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,5.5
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,5.2
"Hà Nội, Thanh Trì",20.941461599999997,105.83603265035416,3.7
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,9.3
"Hà Nội, Hai Bà Trưng",21.012198,105.8552245,8.3
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,7.2
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,5.8
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,4.7
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,6.3
"Hà Nội, Hà Đông",20.9702189,105.7749566,8.3
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,4.9
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,3.2
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,4.2
"Hà Nội, Hà Đông",20.9702189,105.7749566,5.9
"Hà Nội, Hà Đông",20.9702189,105.7749566,11.0
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,2.5
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,4.8
"TP Hồ Chí Minh, Quận 8",10.7220335,106.62949387003158,3.8
"Hà Nội, Long Biên",21.0257066,105.8921527,3.1
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,7.0
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,8.5
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,8.4
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,6.9
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,3.7
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,6.0
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,7.0
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,9.2
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,6.9
"Hà Nội, Tây Hồ",21.075251100000003,105.80736904927184,13.0
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.7
"Đồng Nai, Biên Hòa",10.9509538,106.8226134,1.8
"Hà Nội, Tây Hồ",21.075251100000003,105.80736904927184,12.0
"Hà Nội, Tây Hồ",21.075251100000003,105.80736904927184,13.0
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,6.2
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,5.8
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,7.0
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,2.8
"Đồng Nai, Biên Hòa",10.9509538,106.8226134,6.1
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.2
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,2.6
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,7.0
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,5.8
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,7.4
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,6.0
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,5.4
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,4.2
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,8.0
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,7.6
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,5.1
"Hà Nội, Hà Đông",20.9702189,105.7749566,8.9
"Thừa Thiên Huế, Hương Thủy",16.4115408,107.671579,2.1
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,5.1
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.2
"Hà Nội, Long Biên",21.0257066,105.8921527,7.1
"Thừa Thiên Huế, Huế",16.4639321,107.5863388,5.3
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,5.2
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,5.2
"Hà Nội, Hà Đông",20.9702189,105.7749566,4.3
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,5.2
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,6.2
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,10.9
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,4.9
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,12.3
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,11.3
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,6.0
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,10.5
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,5.9
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,6.2
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,5.0
"Hà Nội, Hà Đông",20.9702189,105.7749566,7.4
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,5.3
"TP Hồ Chí Minh, Quận 12",10.861410750000001,106.66420925636413,6.9
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,5.0
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,4.0
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,7.8
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,5.9
"Hà Nội, Thanh Trì",20.941461599999997,105.83603265035416,5.3
"Đà Nẵng, Thanh Khê",16.071795950000002,108.20920548707869,6.2
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,5.9
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,4.4
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,4.4
"Hà Nội, Mê Linh",21.18078845,105.70725700576077,3.8
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,8.8
"Đồng Nai, Biên Hòa",10.9509538,106.8226134,2.4
"TP Hồ Chí Minh, Hóc Môn",10.878345,106.57635314823773,2.0
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,5.9
"TP Hồ Chí Minh, Hóc Môn",10.878345,106.57635314823773,1.2
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,6.1
"Hà Nội, Ba Đình",21.03470905,105.82451384484861,4.5
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,4.0
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,5.1
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,3.2
"Thừa Thiên Huế, Huế",16.4639321,107.5863388,3.9
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,12.1
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,4.2
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.3
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.5
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,7.0
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,5.7
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,13.0
"Hà Nội, Hà Đông",20.9702189,105.7749566,6.0
"Hà Nội, Hà Đông",20.9702189,105.7749566,4.0
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,6.9
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,4.7
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,8.0
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,6.9
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,8.9
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,7.0
"Hà Nội, Nam Từ Liêm",21.0151072,105.7814958,8.0
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,6.6
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,4.0
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,2.8
"Hà Nội, Ba Đình",21.03470905,105.82451384484861,7.1
"Hà Nội, Tây Hồ",21.075251100000003,105.80736904927184,13.0
"TP Hồ Chí Minh, Phú Nhuận",10.8010732,106.6798916250364,8.2
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,3.0
"TP Hồ Chí Minh, Bình Thạnh",10.8041602,106.5878711,8.3
"Hà Nội, Tây Hồ",21.075251100000003,105.80736904927184,13.0
